phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
after,https://kujolang.ai/,AI-native programming language,Kujo,brand/category,Kujo programming language,"AI-native software|local-first automation|agentic workflows","Kujo ecosystem|Kujo docs",What is Kujo?,,Limited first-party proof on home,Keep concise and link to verified technical evidence
after,https://kujolang.ai/ecosystem/,Kujo project catalog,Kujo ecosystem,exploration,Kujo ecosystem,"AI-native tools|local-first developer tools","Kujo|Spec|Eval|Dispatch",What tools are in the Kujo ecosystem?,,Project maturity not summarized,Add factual status signals after owner review
after,https://kujolang.ai/ethos/,Kujo operating principles,Kujo ethos,informational,Kujo ethos,"explicit authority|deterministic workflows|human agent trust","local-first|artifacts|approvals",What principles guide Kujo?,,No date or named maintainer,Add only accurate maintainable provenance
after,https://kujolang.ai/writing/,Kujo technical writing,Kujo Writing,informational,Kujo tutorials,"Kujo launch notes|Kujo field reports","Kujo ecosystem|Kujo docs",Where are Kujo guides and examples?,,No published articles,Publish verified first-party material when ready
after,https://kujolang.ai/contact/,Kujo contact and community,Kujo Team,navigational,contact Kujo,"Kujo Discord|Kujo GitHub","Kujolang.ai|Kujo docs",How can I contact the Kujo team?,,No major content gap,Keep destinations current
after,https://kujolang.ai/ecosystem/kujo/,Programming language runtime,Kujo,technical adoption,Kujo programming language,"Kujo runtime|install Kujo|Kujo scripting","Kujo ecosystem|Kennel",What does Kujo do and how is it installed?,,Needs dated implementation evidence,Link verified docs and release evidence when available
after,https://kujolang.ai/ecosystem/kennel/,Package and dependency workflows,Kennel,technical adoption,Kujo package manager,"Kujo lockfiles|package trust policy","Kujo|packages",How are Kujo dependencies installed and verified?,,Needs concrete examples,Add verified workflow evidence editorially
after,https://kujolang.ai/ecosystem/ai-sdk/,AI provider primitives,Kujo AI SDK,technical adoption,Kujo AI SDK,"provider adapters|AI streaming|embeddings","OpenAI-compatible APIs|Kujo",How does Kujo connect to AI providers?,,Needs API examples,Add verified examples and compatibility evidence
after,https://kujolang.ai/ecosystem/agents-sdk/,Agent runtime primitives,Kujo Agents SDK,technical adoption,Kujo Agents SDK,"agent tools|handoffs|approvals|tracing","Kujo AI SDK|MCP",How are Kujo agents built and controlled?,,Needs runtime examples,Add verified examples and boundaries
after,https://kujolang.ai/ecosystem/spec/,Task contracts,Kujo Spec,technical adoption,Kujo task specification,"spec validation|agent context export","Eval|Dispatch",How do Kujo task contracts work?,,Cross-project workflow is implicit,Add verified Spec-to-Eval example
after,https://kujolang.ai/ecosystem/eval/,Deterministic evaluations,Kujo Eval,technical adoption,Kujo evaluation framework,"AI evals|quality gates|snapshots","Spec|fixtures",How are Kujo workflows evaluated?,,Needs measurable examples,Add a verified evaluation case
after,https://kujolang.ai/ecosystem/dispatch/,Workflow orchestration,Kujo Dispatch,technical adoption,Kujo workflow orchestration,"resumable workflows|agent orchestration","Spec|Eval",How are reliable Kujo workflows resumed and inspected?,,Needs end-to-end example,Add verified workflow evidence
after,https://kujolang.ai/ecosystem/watchdog/,AI telemetry and proxying,Kujo Watchdog,technical adoption,Kujo AI telemetry,"AI proxy|request observability|redaction","AI Chat|providers",How can Kujo observe AI requests locally?,,Needs operational measurements,Add verified telemetry example
after,https://kujolang.ai/ecosystem/mcp/,MCP server generation,Kujo MCP,technical adoption,Kujo MCP server,"MCP scaffolding|tool registries","Model Context Protocol|Kujo",How do I build an MCP server with Kujo?,,Needs generated contract example,Add verified scaffold output
after,https://kujolang.ai/ecosystem/rag/,Local retrieval workflows,Kujo RAG,technical adoption,Kujo RAG,"local RAG|offline retrieval|embeddings","Kujo AI SDK|indexes",How do I build local RAG with Kujo?,,Needs retrieval quality evidence,Add verified ingest/query example
after,https://kujolang.ai/ecosystem/leash/,Human approvals,Leash,technical adoption,AI agent approvals,"policy as code|mobile approvals|audit trail","Kujo|agents",How does Leash gate risky agent actions?,,Public repository returns 404,Owner must resolve source availability
after,https://kujolang.ai/ecosystem/runledger/,Agent run receipts,RunLedger,technical adoption,AI agent run ledger,"token cost tracking|run comparison|receipts","Kujo agents|artifacts",How are agent runs recorded and compared?,,Needs sample receipt,Add verified redacted example
after,https://kujolang.ai/ecosystem/casefile/,Failure evidence bundles,CaseFile,technical adoption,AI failure evidence,"debug bundles|redaction|handoff","RunLedger|logs",How is a reproducible agent failure captured?,,Needs example bundle,Add verified redacted example
after,https://kujolang.ai/ecosystem/muzzle/,Quiet bounded workflows,Muzzle,technical adoption,Kujo workflow runner,"quiet automation|workflow manifests","Kujo agents|logs",How do I run bounded quiet workflows?,,Needs before/after evidence,Add verified workflow example
