phase,url,title,title_length,duplicate_title,meta_description,description_length,duplicate_description,h1,h1_count,canonical,lang,og_title,og_description,og_url,og_image,twitter_card,author,issues,production_status
after,https://kujolang.ai/,Kujo — AI-Native Programming Language | Kujolang.ai,51,no,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,no,Trust at the speed of AI,1,https://kujolang.ai/,en,Kujo — AI-Native Programming Language,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",https://kujolang.ai/,https://kujolang.ai/assets/images/social/home.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/contact/,Contact the Kujo Team | Kujolang.ai,35,no,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,no,Contact,1,https://kujolang.ai/contact/,en,Contact the Kujo Team,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",https://kujolang.ai/contact/,https://kujolang.ai/assets/images/social/contact.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/ability/,Kujo Ability — Portable Operation Contracts | Kujolang.ai,57,no,"Portable, versioned operation contracts with typed schemas, declared effects, retry semantics, policy gates, approvals, idempotency, and canonical receipts.",156,no,Ability,1,https://kujolang.ai/ecosystem/ability/,en,Kujo Ability — Portable Operation Contracts,"Portable, versioned operation contracts with typed schemas, declared effects, retry semantics, policy gates, approvals, idempotency, and canonical receipts.",https://kujolang.ai/ecosystem/ability/,https://kujolang.ai/assets/images/social/ability.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/agents-sdk/,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,no,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,no,Agents SDK,1,https://kujolang.ai/ecosystem/agents-sdk/,en,Agents SDK — Kujo Ecosystem,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",https://kujolang.ai/ecosystem/agents-sdk/,https://kujolang.ai/assets/images/social/agents-sdk.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/ai-chat/,AI Chat — Kujo Ecosystem | Kujolang.ai,38,no,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,no,AI Chat,1,https://kujolang.ai/ecosystem/ai-chat/,en,AI Chat — Kujo Ecosystem,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",https://kujolang.ai/ecosystem/ai-chat/,https://kujolang.ai/assets/images/social/ai-chat.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/ai-sdk/,AI SDK — Kujo Ecosystem | Kujolang.ai,37,no,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,no,AI SDK,1,https://kujolang.ai/ecosystem/ai-sdk/,en,AI SDK — Kujo Ecosystem,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",https://kujolang.ai/ecosystem/ai-sdk/,https://kujolang.ai/assets/images/social/ai-sdk.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/assetworks/,AssetWorks — Kujo Ecosystem | Kujolang.ai,41,no,"A local-first media production ledger for asset planning, immutable provenance, accessibility artifacts, and checksum-backed validation.",136,no,AssetWorks,1,https://kujolang.ai/ecosystem/assetworks/,en,AssetWorks — Kujo Ecosystem,"A local-first media production ledger for asset planning, immutable provenance, accessibility artifacts, and checksum-backed validation.",https://kujolang.ai/ecosystem/assetworks/,https://kujolang.ai/assets/images/social/assetworks.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/bluepencil/,BluePencil — Kujo Ecosystem | Kujolang.ai,41,no,"A Kujo-native editorial review and quality-calibration system that preserves independent judgment, blockers, and structured verdicts.",133,no,BluePencil,1,https://kujolang.ai/ecosystem/bluepencil/,en,BluePencil — Kujo Ecosystem,"A Kujo-native editorial review and quality-calibration system that preserves independent judgment, blockers, and structured verdicts.",https://kujolang.ai/ecosystem/bluepencil/,https://kujolang.ai/assets/images/social/bluepencil.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/casefile/,CaseFile — Kujo Ecosystem | Kujolang.ai,39,no,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,no,CaseFile,1,https://kujolang.ai/ecosystem/casefile/,en,CaseFile — Kujo Ecosystem,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",https://kujolang.ai/ecosystem/casefile/,https://kujolang.ai/assets/images/social/casefile.jpg,summary_large_image,Kujo Team,,200
after,https://kujolang.ai/ecosystem/changebucket/,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,no,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,no,ChangeBucket,1,https://kujolang.ai/ecosystem/changebucket/,en,ChangeBucket — Kujo Ecosystem,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",https://kujolang.ai/ecosystem/changebucket/,https://kujolang.ai/assets/images/social/changebucket.jpg,summary_large_image,Kujo Team,,200
