phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
after,https://kujolang.ai/,templates/page-home.html,home,200,200,yes,"default index,follow",https://kujolang.ai/,200,Kujo — AI-Native Programming Language | Kujolang.ai,51,"Kujo is the programming language for AI-native software, local-first automation, and agentic workflows.",103,Trust at the speed of AI,H2:Quick Install > H2:Give this prompt to your agent > H1:Trust at the speed of AI,69,en,,,Kujo Team,no,Organization|WebSite,628,28,7,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,0,no,yes,no,no,f95ed62ceb6599e2971ed812c4a5acb2b3c42c61d73f67a271f16b95fe924d44,
after,https://kujolang.ai/contact/,content/pages/02-contact.md,page,200,200,yes,"default index,follow",https://kujolang.ai/contact/,200,Contact the Kujo Team | Kujolang.ai,35,"Talk with the Kujo team about the language, ecosystem, community, partnerships, or technical questions.",103,Contact,H2:Quick Install > H2:Give this prompt to your agent > H1:Contact > H2:Send the right signal. > H3:General > H3:Technical > H3:Security > H2:Before you send,140,en,,,Kujo Team,no,ContactPage|Organization,471,27,9,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,1,no,yes,no,no,dfc18e7b4e61073ad243fb4d4fc056f434e3200e05f1ade1d8bc50635d513710,
after,https://kujolang.ai/ecosystem/agents-sdk/,content/ecosystem/11-agents-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/agents-sdk/,200,Agents SDK — Kujo Ecosystem | Kujolang.ai,41,"Agent runners, tools, approvals, handoffs, tracing, sessions, memory, retrieval, artifact stores, budgets, and offline fixtures.",128,Agents SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:Agents SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,127,en,,,Kujo Team,no,Organization|SoftwareSourceCode,9,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,5986f8286807c65b525d37fa83028708e399597c8585e37fd0e8d2cbce87a32f,
after,https://kujolang.ai/ecosystem/ai-chat/,content/ecosystem/40-ai-chat.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-chat/,200,AI Chat — Kujo Ecosystem | Kujolang.ai,38,"A local multi-provider chat application with encrypted provider profiles, SQLite history, streaming, comparison, transcription, and fixture smokes.",147,AI Chat,H2:Quick Install > H2:Give this prompt to your agent > H1:AI Chat > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,133,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,2f9c7bbecccb2df9a35ac293928b0f2debe7fef7a947dbbcc4271c67ad6dddbb,
after,https://kujolang.ai/ecosystem/ai-sdk/,content/ecosystem/10-ai-sdk.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/ai-sdk/,200,AI SDK — Kujo Ecosystem | Kujolang.ai,37,"Provider-normalized chat and embeddings contracts with presets, fixtures, retries, streaming, redaction, budgets, and telemetry hooks.",134,AI SDK,H2:Quick Install > H2:Give this prompt to your agent > H1:AI SDK > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,133,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,046b841c644d7f2f3340a8bd2d90c96e2d67b587260c0c89d400beffa13494a9,
after,https://kujolang.ai/ecosystem/casefile/,content/ecosystem/22-casefile.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/casefile/,200,CaseFile — Kujo Ecosystem | Kujolang.ai,39,"Reproducible failure and incident bundles with provenance, redaction, logs, reproduction notes, JSON, Markdown, and handoffs.",125,CaseFile,H2:Quick Install > H2:Give this prompt to your agent > H1:CaseFile > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,134,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,2d80e3a539b04c7ed2de9ea44ec501da7888763c68c270d4089ce3e1ec1d1189,
after,https://kujolang.ai/ecosystem/changebucket/,content/ecosystem/27-changebucket.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/changebucket/,200,ChangeBucket — Kujo Ecosystem | Kujolang.ai,43,"Change-footprint and blast-radius reports covering churn, categories, generated files, CI, deletions, dependencies, and budgets.",128,ChangeBucket,H2:Quick Install > H2:Give this prompt to your agent > H1:ChangeBucket > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,134,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,5bab1d9bd38c51378b23b721223ed9973d7cc09822f2e67d80c11e7ca881de3c,
after,https://kujolang.ai/ecosystem/cms/,content/ecosystem/41-cms.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/cms/,200,CMS — Kujo Ecosystem | Kujolang.ai,34,"A server-first headless CMS with Kujo-backed routes, models, delivery APIs, authentication boundaries, webhooks, jobs, migrations, and recovery operations.",155,CMS,H2:Quick Install > H2:Give this prompt to your agent > H1:CMS > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,131,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,0a6c18c915451d6e122effb7736cd1ca7a6e79831af84b0561c8a3b00a55de73,
after,https://kujolang.ai/ecosystem/concord/,content/ecosystem/25-concord.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/concord/,200,Concord — Kujo Ecosystem | Kujolang.ai,38,"Cross-artifact drift checks for code, CLI behavior, docs, examples, specs, evals, schemas, manifests, and sources of truth.",123,Concord,H2:Quick Install > H2:Give this prompt to your agent > H1:Concord > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,131,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,4134e481d408f14ec83b92e0ee6991060b978d892d85cec33687b12d396ca93a,
after,https://kujolang.ai/ecosystem/contentgraph/,content/ecosystem/38-contentgraph.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/contentgraph/,200,ContentGraph — Kujo Ecosystem | Kujolang.ai,43,"A deterministic, inspectable network of website content, internal links, topic clusters, overlaps, orphan candidates, and link opportunities.",141,ContentGraph,H2:Quick Install > H2:Give this prompt to your agent > H1:ContentGraph > H2:What it does > H2:Deterministic content relationships > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,241,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,edde4e4a3ac46f41916980dcd0f73767eb25dc8361ecd2c3dd61c4736aee92f9,
after,https://kujolang.ai/ecosystem/crud-api/,content/ecosystem/42-crud-api.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/crud-api/,200,CRUD API Showcase — Kujo Ecosystem | Kujolang.ai,48,"SQLite item and project APIs with a web playground, authentication strategies, contract smokes, disaster recovery, performance, and release patterns.",149,CRUD API Showcase,H2:Quick Install > H2:Give this prompt to your agent > H1:CRUD API Showcase > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,135,en,,,Kujo Team,no,Organization|SoftwareSourceCode,6,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,6dbabf0b69feff6eedabab8103694b81366c1a3ce2632eee71ececd815042039,
after,https://kujolang.ai/ecosystem/dispatch/,content/ecosystem/14-dispatch.md,software-detail,200,200,yes,"default index,follow",https://kujolang.ai/ecosystem/dispatch/,200,Dispatch — Kujo Ecosystem | Kujolang.ai,39,"Resumable multi-step workflows with templates, retries, approvals, persisted state, traces, reports, policy controls, and signed bundles.",137,Dispatch,H2:Quick Install > H2:Give this prompt to your agent > H1:Dispatch > H2:What it does > H2:Why it belongs in Kujo > H2:Operating boundary > H2:Learn more > H2:Source and catalog,133,en,,,Kujo Team,no,Organization|SoftwareSourceCode,9,28,8,0,NOT AVAILABLE — DATA ACCESS REQUIRED,3,0,0,2,no,yes,no,no,af338e0faae923b104690cfdd31a9f2127b4c29cc6168096524476de7423cf39,
